score_band,n_loans,avg_pd,avg_pd_stressed,avg_asset_corr,total_exposure,total_capital,total_rwa,capital_pct,rwa_density
"(265.576, 469.292]",951,0.8117829780759134,1.0,0.03000000000164216,12625425,142825.4282695534,1785317.8533694174,1.13,14.1
"(469.292, 503.913]",950,0.5006658927151313,0.31644963939401927,0.030000052073358194,11659600,371525.7146551053,4644071.4331888165,3.19,39.8
"(503.913, 524.032]",950,0.2751417241001468,0.0,0.03001724531390902,9224975,0.0,0.0,0.0,0.0
"(524.032, 539.696]",950,0.17426204905669287,,0.030377796504699163,8125150,0.0,0.0,0.0,0.0
"(539.696, 553.092]",950,0.11376793383400075,,0.03269391695840873,8166725,0.0,0.0,0.0,0.0
"(553.092, 564.979]",950,0.0766080718879589,,0.039288266853656176,8189675,0.0,0.0,0.0,0.0
"(564.979, 576.976]",950,0.051863181868670685,,0.05163024412232764,8754150,0.0,0.0,0.0,0.0
"(576.976, 590.328]",950,0.03430544425143309,,0.06959945633566954,8772525,0.0,0.0,0.0,0.0
"(590.328, 606.32]",950,0.021437098523489635,,0.09180777773098735,8731075,0.0,0.0,0.0,0.0
"(606.32, 662.464]",951,0.01049585044324818,,0.12069321324747309,8525375,0.0,0.0,0.0,0.0
